Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-04-27,140.0,140.35,134.3,136.1,162.0,643.0
2015-04-24,141.25,142.8,140.85,141.15,149.0,744.0
2015-04-23,142.05,143.85,140.45,140.45,303.0,998.0
2015-04-22,139.65,145.0,139.65,142.4,342.0,2015.0
2015-04-21,139.2,142.7,138.2,140.3,5234.0,4885.0
2015-04-20,138.4,140.0,134.25,138.7,4803.0,7901.0
2015-04-17,139.4,141.25,137.8,138.7,4980.0,15559.0
2015-04-16,136.9,140.8,136.1,139.6,4919.0,19822.0
2015-04-15,134.6,138.0,133.85,135.8,15932.0,27744.0
2015-04-14,133.85,136.1,131.95,134.6,20700.0,37666.0
2015-04-13,135.15,138.1,132.95,133.75,23265.0,47471.0
2015-04-10,137.4,138.45,133.8,135.1,21117.0,58946.0
2015-04-09,135.9,137.9,133.6,137.45,27086.0,65790.0
2015-04-08,141.75,144.4,135.1,135.7,25547.0,67636.0
2015-04-07,145.5,145.75,141.2,141.95,15858.0,71590.0
2015-04-06,140.9,147.35,140.2,146.2,23226.0,78778.0
2015-04-02,134.15,141.45,134.05,140.9,27826.0,79367.0
2015-04-01,133.4,139.8,133.05,134.85,16437.0,80594.0
2015-03-31,133.0,135.95,131.9,132.9,15312.0,80342.0
2015-03-30,138.8,138.9,131.8,132.35,13362.0,79972.0
2015-03-27,139.75,140.8,136.55,138.2,11986.0,81633.0
2015-03-26,140.0,142.8,138.3,140.25,11202.0,81717.0
2015-03-25,137.3,142.35,136.0,139.95,17815.0,83861.0
2015-03-24,142.0,145.4,136.15,137.3,18237.0,85463.0
2015-03-23,142.0,144.3,139.4,141.85,9373.0,85302.0
2015-03-20,143.0,143.9,140.5,143.35,10417.0,85647.0
2015-03-19,140.5,146.75,140.05,144.15,21615.0,88801.0
2015-03-18,136.25,141.5,133.25,140.05,15275.0,88070.0
2015-03-17,138.65,139.5,134.25,138.15,11566.0,88152.0
2015-03-16,130.5,139.75,130.5,138.05,15941.0,88717.0
2015-03-13,132.55,134.05,128.75,129.8,10791.0,89983.0
2015-03-12,131.2,134.65,130.0,132.2,14412.0,89066.0
2015-03-11,134.65,137.1,131.15,131.75,13971.0,88718.0
2015-03-10,135.9,137.0,133.8,135.05,13153.0,90390.0
2015-03-09,139.5,142.2,134.15,137.0,15160.0,88939.0
2015-03-06,135.1,140.1,133.15,139.9,13488.0,89189.0
2015-03-05,137.5,137.55,133.3,135.05,12485.0,89013.0
2015-03-03,139.0,139.2,128.8,129.75,21753.0,87985.0
2015-03-02,141.3,142.4,137.95,138.35,14386.0,87163.0
2015-02-27,141.05,143.8,140.15,140.5,20833.0,88050.0
2015-02-25,147.05,147.05,139.75,139.75,22.0,279.0
2015-02-24,144.8,145.5,143.55,145.35,44.0,282.0
2015-02-23,147.95,149.75,144.45,144.45,75.0,581.0
2015-02-20,150.2,151.35,147.0,148.65,405.0,2086.0
2015-02-19,152.6,153.85,149.2,149.2,704.0,2504.0
2015-02-18,156.15,157.85,152.05,152.8,10739.0,9570.0
2015-02-17,164.0,165.75,154.5,155.65,15206.0,17402.0
2015-02-13,164.6,165.85,162.15,163.2,14861.0,25392.0
2015-02-12,160.05,164.95,159.3,164.55,23325.0,34325.0
2015-02-11,160.3,161.35,159.0,159.45,24310.0,43496.0
2015-02-10,167.05,169.25,158.8,159.4,30300.0,50329.0
2015-02-09,166.5,168.1,163.8,167.6,19574.0,54617.0
2015-02-06,165.45,169.75,165.05,166.85,23913.0,59800.0
2015-02-05,164.45,166.4,163.3,164.75,13212.0,60863.0
2015-02-04,161.55,167.0,160.15,164.9,13762.0,62657.0
2015-02-03,162.8,163.4,158.4,160.75,18125.0,65019.0
2015-02-02,162.4,163.65,159.7,162.45,15269.0,70211.0
2015-01-30,160.1,162.25,159.2,161.9,11279.0,72419.0
2015-01-29,167.9,167.95,158.7,160.0,19183.0,73786.0
2015-01-28,167.05,169.9,165.6,167.7,14387.0,75982.0
2015-01-27,162.3,168.5,161.7,168.2,14291.0,76248.0
2015-01-26,162.2,165.25,160.75,161.85,14358.0,78467.0
2015-01-23,160.7,162.85,159.4,162.45,12442.0,78678.0
2015-01-22,161.4,163.55,159.7,159.95,14697.0,78420.0
2015-01-21,166.05,166.85,161.0,161.25,13874.0,79033.0
2015-01-20,170.1,172.5,163.85,164.3,21412.0,80587.0
2015-01-16,177.5,177.6,170.4,171.0,13642.0,80664.0
2015-01-15,180.0,182.85,175.2,176.65,15876.0,81579.0
2015-01-14,178.25,184.8,177.6,179.85,19044.0,83066.0
