Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-04-24,371.0,371.25,363.75,364.5,144204.0,162919.0
2015-04-23,372.5,378.0,370.25,370.75,191056.0,203968.0
2015-04-22,373.0,374.0,369.25,372.5,140050.0,233266.0
2015-04-21,377.0,377.0,371.25,373.0,178828.0,254397.0
2015-04-20,379.5,381.75,375.75,378.0,132726.0,267505.0
2015-04-17,376.25,380.75,375.0,379.75,151864.0,293453.0
2015-04-16,375.75,377.75,373.0,376.25,120167.0,303003.0
2015-04-15,372.75,379.0,370.5,376.0,218909.0,334766.0
2015-04-14,371.0,374.75,370.0,373.5,171862.0,359817.0
2015-04-13,375.0,376.0,370.25,370.5,183775.0,384552.0
2015-04-10,378.25,379.5,374.25,377.0,194371.0,423043.0
2015-04-09,379.0,380.0,375.0,378.0,197139.0,442882.0
2015-04-08,383.25,385.0,376.75,379.25,213061.0,456900.0
2015-04-07,385.0,387.25,382.0,383.0,98282.0,468910.0
2015-04-06,386.25,390.0,383.5,385.0,84292.0,470873.0
2015-04-02,381.75,388.5,378.25,386.5,166842.0,486519.0
2015-04-01,377.0,382.25,374.0,381.75,207848.0,491177.0
2015-03-31,394.0,398.5,375.25,376.25,335327.0,493974.0
2015-03-30,391.5,395.0,390.0,394.5,163093.0,506269.0
2015-03-27,391.0,393.5,389.25,391.0,134939.0,523290.0
2015-03-26,394.0,397.0,389.25,391.25,153764.0,533438.0
2015-03-25,392.75,395.75,391.5,395.0,149358.0,545350.0
2015-03-24,389.25,393.75,388.5,393.25,134001.0,553954.0
2015-03-23,385.0,391.75,385.0,390.25,160101.0,555714.0
2015-03-20,373.5,387.5,372.75,385.0,209490.0,575536.0
2015-03-19,377.5,380.5,370.5,373.5,151013.0,568157.0
2015-03-18,371.5,375.25,367.0,374.75,145130.0,563675.0
2015-03-17,379.0,379.75,370.0,371.0,174585.0,551142.0
2015-03-16,380.75,382.25,375.5,379.0,144423.0,539467.0
2015-03-13,388.5,389.75,380.25,380.5,153402.0,528320.0
2015-03-12,390.5,392.0,386.25,388.5,141660.0,527726.0
2015-03-11,387.0,393.5,386.0,391.0,135683.0,528808.0
2015-03-10,388.0,391.5,383.5,388.0,171977.0,533050.0
2015-03-09,386.0,391.0,385.5,388.5,122180.0,540773.0
2015-03-06,389.0,389.5,383.5,386.0,132000.0,533108.0
2015-03-05,389.0,393.0,387.5,390.0,116463.0,538888.0
2015-03-04,390.0,392.0,386.5,389.0,107526.0,543722.0
2015-03-03,388.0,391.5,384.0,391.0,141905.0,550578.0
2015-03-02,392.5,395.0,386.0,388.0,131906.0,548192.0
2015-02-27,385.4,394.7,383.4,391.6,157052.0,447403.8
2015-02-26,380.8,387.0,379.8,384.8,138861.0,346299.4
2015-02-25,380.8,382.2,374.2,378.7,149507.8,273092.8
2015-02-24,380.6,388.6,378.6,378.6,211062.2,225415.8
2015-02-23,385.5,386.0,377.0,378.5,142469.0,195830.0
2015-02-20,389.0,389.0,383.0,385.5,128800.0,259783.0
2015-02-19,383.5,391.5,382.5,389.5,175498.0,282627.0
2015-02-18,389.0,390.0,383.0,383.5,161612.0,318717.0
2015-02-17,387.0,391.0,385.0,389.0,162919.0,335951.0
2015-02-13,383.0,388.0,382.5,387.5,166093.0,370981.0
2015-02-12,385.5,387.5,381.5,383.0,168445.0,401548.0
2015-02-11,388.0,389.5,384.0,385.5,175238.0,425613.0
2015-02-10,390.5,391.0,384.0,388.0,208626.0,445832.0
2015-02-09,385.5,391.5,383.0,391.5,215961.0,476415.0
2015-02-06,385.0,389.0,380.0,385.5,200275.0,497289.0
2015-02-05,382.0,387.0,381.0,385.5,135663.0,507124.0
2015-02-04,385.0,388.5,379.0,383.0,177972.0,522821.0
2015-02-03,370.0,388.0,370.0,385.5,237660.0,536808.0
2015-02-02,369.5,378.0,367.0,369.5,154427.0,540592.0
2015-01-30,372.5,373.0,365.5,370.0,194038.0,544422.0
2015-01-29,373.0,373.0,368.0,371.0,191221.0,548601.0
2015-01-28,380.5,381.0,373.0,373.5,166478.0,548340.0
2015-01-27,383.0,386.0,380.0,381.5,107848.0,555159.0
2015-01-26,385.5,388.5,382.5,384.0,102360.0,563371.0
2015-01-23,384.0,388.0,382.0,386.5,168606.0,572655.0
2015-01-22,387.5,390.0,382.0,383.5,138720.0,580177.0
2015-01-21,390.0,392.0,386.5,388.0,114056.0,586365.0
2015-01-20,385.5,391.0,382.5,390.5,137221.0,589277.0
2015-01-16,380.0,388.0,379.0,387.0,142085.0,593836.0
2015-01-15,382.5,388.0,376.0,380.0,188994.0,583409.0
2015-01-14,386.0,386.5,376.0,381.0,235156.0,590859.0
2015-01-13,402.0,406.0,384.0,385.5,247781.0,597580.0
2015-01-12,399.0,407.0,390.0,402.0,272597.0,608485.0
2015-01-09,394.5,401.0,393.0,400.5,153628.0,611186.0
2015-01-08,396.0,398.5,392.5,394.5,118113.0,616439.0
2015-01-07,404.5,407.5,395.5,396.5,130896.0,622973.0
2015-01-06,405.0,409.0,402.5,405.0,137716.0,626583.0
2015-01-05,395.5,406.5,394.0,406.0,139899.0,626528.0
2015-01-02,396.5,398.0,391.0,395.5,88285.0,634682.0
2014-12-31,406.0,406.0,396.0,397.0,117710.0,640798.0
2014-12-30,411.5,412.5,406.0,406.0,95406.0,645205.0
2014-12-29,414.0,417.0,410.5,412.5,85196.0,647859.0
2014-12-26,410.5,415.0,405.5,414.5,51475.0,645230.0
2014-12-24,413.0,415.0,405.5,407.5,68258.0,651265.0
2014-12-23,411.0,415.5,410.0,414.0,89667.0,655121.0
2014-12-22,409.5,414.5,408.0,411.5,89455.0,661173.0
2014-12-19,410.5,411.5,405.0,410.0,116956.0,659831.0
2014-12-18,408.0,414.0,407.0,411.0,124406.0,657252.0
2014-12-17,405.5,410.0,403.0,408.5,119492.0,664382.0
2014-12-16,407.5,411.0,404.0,406.0,171278.0,665300.0
2014-12-15,407.0,412.0,405.0,408.0,162288.0,666939.0
2014-12-12,397.5,410.0,397.5,407.0,193014.0,671031.0
2014-12-11,393.5,401.0,392.5,398.0,155433.0,669370.0
2014-12-10,394.5,398.5,389.5,393.5,133393.0,675428.0
2014-12-09,389.0,396.0,387.0,395.5,106863.0,669707.0
2014-12-08,394.0,399.5,389.0,390.5,142051.0,671001.0
2014-12-05,388.5,396.0,386.0,395.0,139986.0,672093.0
2014-12-04,381.5,390.0,380.5,389.5,158130.0,666565.0
2014-12-03,381.0,382.0,377.5,382.0,93153.0,662693.0
2014-12-02,389.0,391.0,380.5,381.5,154053.0,665983.0
2014-12-01,386.0,391.0,383.0,389.5,149495.0,665410.0
2014-11-28,387.4,390.9,380.1,385.9,102048.6,540522.6
2014-11-26,381.8,386.6,381.0,386.0,178901.2,418058.0
2014-11-25,372.2,380.5,371.5,379.7,159117.2,333452.0
2014-11-24,374.9,375.1,367.7,369.7,156699.8,274101.8
2014-11-21,372.75,381.5,369.75,372.75,203953.0,276456.0
2014-11-20,363.0,374.75,362.5,373.25,191419.0,317200.0
2014-11-19,371.75,372.0,362.75,363.25,201364.0,347871.0
2014-11-18,377.5,378.75,371.25,372.0,164642.0,371699.0
2014-11-17,381.5,384.25,374.25,377.5,165518.0,389753.0
2014-11-14,385.5,387.0,380.5,381.75,159394.0,404377.0
2014-11-13,377.0,389.0,377.0,386.25,298531.0,424617.0
2014-11-12,373.5,385.0,372.75,377.75,337018.0,473151.0
2014-11-11,368.25,374.5,365.5,373.75,223988.0,499916.0
2014-11-10,366.0,378.75,364.75,369.25,310022.0,530315.0
2014-11-07,370.0,371.75,364.25,367.5,207758.0,557039.0
2014-11-06,369.5,374.5,366.5,371.25,172062.0,574554.0
2014-11-05,364.0,371.75,359.0,370.25,212227.0,581045.0
2014-11-04,372.5,372.5,364.0,364.5,177754.0,596323.0
2014-11-03,374.5,375.25,370.5,373.5,157163.0,604872.0
2014-10-31,372.75,378.0,368.0,376.75,190175.0,618089.0
2014-10-30,374.75,381.0,371.5,374.0,202101.0,629009.0
2014-10-29,364.25,376.0,362.5,375.25,215948.0,638826.0
2014-10-28,362.5,371.75,361.25,364.5,221032.0,648853.0
2014-10-27,351.75,363.75,348.5,363.0,171841.0,660516.0
2014-10-24,359.25,365.0,352.25,353.0,161700.0,667119.0
2014-10-23,352.0,360.25,351.0,359.75,143662.0,674164.0
2014-10-22,355.5,361.0,352.25,353.0,172863.0,687769.0
2014-10-21,347.5,358.75,347.0,356.0,158470.0,699404.0
2014-10-20,345.25,349.0,342.0,348.25,140485.0,699400.0
2014-10-17,351.75,355.75,346.5,348.0,126402.0,707984.0
2014-10-16,347.5,353.0,345.0,352.5,137515.0,718838.0
2014-10-15,356.0,358.25,346.5,347.5,182242.0,729460.0
2014-10-14,345.5,357.5,343.0,357.0,194322.0,740833.0
2014-10-13,333.5,347.5,330.5,346.0,141831.0,738792.0
2014-10-10,343.25,348.5,332.5,334.0,233534.0,750283.0
2014-10-09,342.5,348.0,340.75,344.75,171329.0,753204.0
2014-10-08,340.0,343.5,337.5,343.25,125805.0,756993.0
2014-10-07,331.75,342.25,330.5,340.5,217024.0,755449.0
2014-10-06,323.25,332.75,323.25,332.5,133582.0,754657.0
2014-10-03,322.75,325.75,321.0,323.25,91688.0,763543.0
2014-10-02,320.5,323.25,319.25,322.75,122718.0,765482.0
2014-10-01,320.25,323.5,318.25,321.25,120945.0,770407.0
2014-09-30,325.5,326.25,319.5,320.75,173061.0,772879.0
2014-09-29,322.25,326.5,322.0,325.75,104305.0,772470.0
2014-09-26,326.0,327.0,322.75,323.0,85804.0,785484.0
2014-09-25,329.25,330.75,325.25,326.0,107160.0,779017.0
