Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-04-27,2.4954,2.5162,2.4658,2.5044,108917.6,139644.4
2015-04-24,2.5628,2.5758,2.5328,2.5458,44830.4,101371.6
2015-04-23,2.611,2.6146,2.5294,2.5386,130106.4,79910.4
2015-04-22,2.571,2.622,2.554,2.606,83343.0,66148.0
2015-04-21,2.549,2.597,2.533,2.575,103646.0,87157.0
2015-04-20,2.592,2.596,2.534,2.536,118321.0,107376.0
2015-04-17,2.682,2.693,2.625,2.634,86587.0,124428.0
2015-04-16,2.598,2.69,2.545,2.684,186382.0,133398.0
2015-04-15,2.526,2.625,2.491,2.61,136769.0,150774.0
2015-04-14,2.507,2.552,2.502,2.53,145591.0,177619.0
2015-04-13,2.487,2.543,2.475,2.511,150880.0,206823.0
2015-04-10,2.539,2.551,2.504,2.511,120054.0,244208.0
2015-04-09,2.624,2.646,2.522,2.528,171397.0,247299.0
2015-04-08,2.666,2.669,2.611,2.619,131934.0,258193.0
2015-04-07,2.655,2.709,2.647,2.68,105704.0,272290.0
2015-04-06,2.681,2.698,2.633,2.65,70629.0,278504.0
2015-04-02,2.601,2.719,2.591,2.713,138646.0,290341.0
2015-04-01,2.637,2.67,2.583,2.605,99015.0,292355.0
2015-03-31,2.64,2.686,2.622,2.64,76705.0,293275.0
2015-03-30,2.624,2.673,2.608,2.644,77690.0,295360.0
2015-03-27,2.682,2.6926,2.6084,2.6292,83834.8,233118.2
2015-03-26,2.7426,2.7674,2.6598,2.6816,95579.4,174119.4
2015-03-25,2.7928,2.801,2.72,2.7298,67496.8,121922.2
2015-03-24,2.7556,2.8146,2.74,2.7908,87162.4,87568.0
2015-03-23,2.741,2.756,2.691,2.733,111016.0,63465.0
2015-03-20,2.831,2.919,2.762,2.786,145542.0,82188.0
2015-03-19,2.909,2.928,2.776,2.813,141093.0,96114.0
2015-03-18,2.854,2.935,2.775,2.92,153505.0,107156.0
2015-03-17,2.742,2.858,2.74,2.855,159236.0,123424.0
2015-03-16,2.705,2.748,2.68,2.716,82668.0,138123.0
2015-03-13,2.749,2.759,2.674,2.727,95866.0,143796.0
2015-03-12,2.828,2.864,2.725,2.734,155481.0,157612.0
2015-03-11,2.716,2.848,2.662,2.824,149112.0,167060.0
2015-03-10,2.693,2.741,2.683,2.732,87604.0,178746.0
2015-03-09,2.775,2.778,2.668,2.678,160371.0,194318.0
2015-03-06,2.828,2.87,2.783,2.839,118189.0,211218.0
2015-03-05,2.777,2.864,2.743,2.841,158565.0,219242.0
2015-03-04,2.713,2.783,2.712,2.769,100323.0,224631.0
2015-03-03,2.658,2.734,2.641,2.712,90003.0,229379.0
2015-03-02,2.691,2.753,2.65,2.698,93378.0,233250.0
2015-02-27,2.707,2.745,2.684,2.734,98789.0,237850.0
2015-02-26,2.875,2.888,2.689,2.697,161322.0,238508.0
2015-02-25,2.9068,2.9516,2.836,2.8684,101241.6,191801.6
2015-02-24,2.8696,2.9732,2.8342,2.8942,132392.2,152856.6
2015-02-23,2.9726,3.0414,2.8502,2.8846,83244.4,113025.4
2015-02-20,2.8224,2.9886,2.8086,2.9552,125638.2,85058.6
2015-02-19,2.825,2.885,2.772,2.834,146522.0,71036.0
2015-02-18,2.78,2.841,2.732,2.831,118991.0,88946.0
2015-02-17,2.818,2.896,2.697,2.759,169186.0,109416.0
2015-02-13,2.715,2.811,2.656,2.804,141007.0,133975.0
2015-02-12,2.835,2.883,2.679,2.713,228321.0,167010.0
2015-02-11,2.693,2.857,2.685,2.797,211496.0,199218.0
2015-02-10,2.62,2.746,2.609,2.677,185719.0,236308.0
2015-02-09,2.659,2.688,2.571,2.597,151193.0,263223.0
2015-02-06,2.594,2.632,2.57,2.579,131433.0,291536.0
2015-02-05,2.661,2.698,2.578,2.6,131277.0,301355.0
2015-02-04,2.766,2.779,2.649,2.662,109556.0,313671.0
2015-02-03,2.692,2.783,2.65,2.754,122976.0,319555.0
