Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-04-27,486.5,488.0,469.5,470.25,19318.0,25732.0
2015-04-24,498.25,499.5,485.0,486.0,29463.0,38783.0
2015-04-23,499.5,503.5,497.5,497.75,31254.0,43773.0
2015-04-22,500.25,504.75,496.25,498.75,25133.0,50992.0
2015-04-21,498.5,506.5,494.25,500.75,44249.0,62486.0
2015-04-20,495.0,499.25,492.0,498.75,50032.0,73345.0
2015-04-17,494.25,499.75,490.75,494.5,45428.0,83658.0
2015-04-16,490.0,495.5,489.0,494.5,69438.0,102064.0
2015-04-15,498.5,503.75,490.0,490.75,74273.0,111056.0
2015-04-14,504.25,506.25,496.25,497.0,89803.0,121383.0
2015-04-13,518.0,520.0,501.5,502.25,105637.0,126694.0
2015-04-10,518.0,527.5,515.5,526.5,97456.0,144098.0
2015-04-09,525.5,526.75,513.75,518.75,92552.0,153450.0
2015-04-08,528.0,530.75,518.25,526.25,91342.0,168662.0
2015-04-07,526.0,534.0,517.75,526.0,81370.0,175193.0
2015-04-06,537.5,543.75,525.0,527.75,53268.0,176072.0
2015-04-02,528.0,544.25,522.5,536.25,92280.0,183602.0
2015-04-01,513.0,529.0,506.0,528.5,83612.0,183064.0
2015-03-31,531.75,531.75,509.0,511.75,103010.0,184390.0
2015-03-30,513.25,531.0,508.75,530.25,87866.0,196488.0
2015-03-27,499.0,509.0,499.0,507.75,55439.0,200036.0
2015-03-26,519.0,525.25,498.25,499.25,83931.0,192057.0
2015-03-25,523.0,528.25,516.0,519.0,46745.0,190869.0
2015-03-24,531.25,531.75,522.5,523.5,57322.0,193612.0
2015-03-23,533.25,540.5,531.75,534.0,58083.0,196523.0
2015-03-20,511.0,530.5,510.0,530.0,70823.0,197675.0
2015-03-19,516.0,520.0,505.25,512.0,55463.0,197940.0
2015-03-18,503.0,512.5,500.75,510.75,44469.0,198574.0
2015-03-17,515.5,518.0,503.0,503.5,51440.0,203007.0
2015-03-16,503.25,515.75,493.0,514.0,59467.0,205534.0
2015-03-13,507.25,513.5,498.75,502.0,57285.0,203677.0
2015-03-12,498.25,513.5,498.0,507.25,70539.0,204386.0
2015-03-11,494.0,502.0,493.5,499.0,53254.0,206956.0
2015-03-10,490.0,496.5,483.5,493.5,52475.0,209592.0
2015-03-09,483.5,495.0,483.0,490.0,55972.0,214535.0
2015-03-06,480.5,485.0,478.5,482.0,65118.0,214552.0
2015-03-05,496.5,496.5,480.0,480.0,87907.0,203476.0
2015-03-04,505.0,506.0,494.0,496.0,94528.0,202743.0
2015-03-03,501.5,507.0,493.0,506.0,57807.0,201980.0
2015-03-02,513.0,518.5,499.0,500.0,57529.0,202593.0
2015-02-27,502.2,518.6,499.2,513.8,54207.6,164626.0
2015-02-26,497.4,502.5,490.3,501.4,42321.2,124749.4
2015-02-25,504.8,505.8,495.6,497.5,27440.4,88964.6
2015-02-24,505.2,512.9,503.7,505.1,26108.2,58368.6
2015-02-23,510.5,515.0,503.0,505.5,32118.0,33295.0
2015-02-20,526.0,531.0,509.0,510.5,58715.0,56491.0
2015-02-19,528.0,537.5,523.5,527.5,45436.0,63345.0
2015-02-18,537.0,543.0,523.0,527.5,62884.0,78041.0
2015-02-17,534.0,548.0,531.5,534.5,62161.0,89238.0
2015-02-13,520.5,534.5,519.0,533.0,82786.0,105662.0
2015-02-12,523.5,527.5,518.5,521.5,92568.0,119566.0
2015-02-11,520.5,528.0,515.5,525.5,96524.0,140665.0
2015-02-10,527.0,530.5,518.0,521.5,86902.0,159910.0
2015-02-09,527.0,532.5,521.0,529.5,77083.0,175989.0
2015-02-06,526.0,534.0,516.0,527.0,85344.0,188238.0
2015-02-05,511.5,527.5,508.0,525.5,84084.0,192640.0
2015-02-04,514.0,521.5,507.0,511.0,64689.0,194353.0
2015-02-03,493.0,515.5,493.0,513.5,70941.0,198267.0
2015-02-02,503.0,505.0,492.5,492.5,57998.0,194786.0
2015-01-30,508.0,511.5,497.0,502.5,67101.0,192095.0
2015-01-29,506.0,512.5,500.5,507.5,76842.0,190920.0
2015-01-28,519.0,520.0,503.0,505.5,77786.0,189248.0
2015-01-27,519.0,524.5,517.0,519.0,40911.0,192108.0
2015-01-26,530.5,534.5,519.5,520.0,52486.0,194368.0
2015-01-23,532.5,536.0,526.5,530.0,57181.0,197411.0
2015-01-22,536.0,542.0,532.0,533.5,44438.0,200265.0
2015-01-21,537.5,544.0,535.0,536.5,50537.0,198981.0
2015-01-20,532.5,539.5,523.0,537.0,62863.0,195977.0
2015-01-16,536.5,542.0,531.5,532.5,53903.0,194847.0
2015-01-15,540.0,545.0,528.0,532.5,59353.0,192188.0
2015-01-14,548.0,549.5,536.0,537.5,66844.0,191181.0
2015-01-13,555.0,566.5,547.5,548.0,61713.0,191709.0
2015-01-12,563.0,567.0,554.0,555.0,74094.0,195480.0
2015-01-09,568.0,574.0,561.5,563.5,54402.0,198404.0
2015-01-08,580.0,581.0,565.5,567.0,49232.0,201542.0
2015-01-07,594.5,594.5,578.0,579.0,46037.0,201155.0
2015-01-06,588.0,603.0,586.0,591.5,52464.0,201859.0
2015-01-05,579.5,597.0,579.0,589.0,45074.0,202492.0
2015-01-02,589.5,591.0,574.5,581.5,39047.0,200969.0
2014-12-31,601.0,604.0,586.0,589.5,37211.0,203622.0
2014-12-30,615.0,615.0,601.0,602.0,33989.0,206018.0
2014-12-29,611.5,620.5,608.0,615.0,29583.0,206437.0
2014-12-26,614.0,616.5,607.0,610.5,20207.0,203728.0
