
PHT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2002-3-2,86,78,69,70,66,63,83,67,55,29.92,29.88,29.83,6,5,4,10,5,,0.00,3,,88<br />
2002-3-3,86,80,73,70,67,64,83,65,51,29.89,29.87,29.83,6,5,5,12,5,,0.00,5,,101<br />
2002-3-4,89,80,71,68,65,61,83,61,40,29.92,29.88,29.80,6,5,5,16,7,,0.00,3,,103<br />
2002-3-5,89,82,75,68,66,63,78,62,43,29.89,29.84,29.77,6,5,4,20,8,,0.00,3,,314<br />
2002-3-6,87,80,73,72,69,66,83,69,52,29.92,29.85,29.77,6,5,4,14,4,,0.00,4,,236<br />
2002-3-7,86,80,73,73,70,66,94,72,58,29.98,29.91,29.86,6,5,4,14,5,,0.00,6,,112<br />
2002-3-8,84,80,75,64,62,59,65,56,42,30.06,30.00,29.95,6,5,4,18,8,31,0.00,5,,86<br />
2002-3-9,87,78,69,66,63,59,73,58,40,30.09,30.02,29.95,6,5,4,16,6,,0.00,3,,96<br />
2002-3-10,87,79,71,66,63,61,78,60,43,30.04,30.00,29.98,6,5,4,12,3,,0.00,4,,90<br />
2002-3-11,87,79,71,70,68,66,83,69,52,29.98,29.95,29.92,6,5,4,12,5,,0.00,3,,115<br />
2002-3-12,87,81,75,75,71,68,89,73,58,29.98,29.94,29.89,6,5,4,9,3,,0.00,5,,155<br />
2002-3-13,89,83,77,73,71,66,89,71,55,30.01,29.94,29.86,6,5,5,14,7,,0.00,4,,97<br />
2002-3-14,91,84,78,73,70,68,79,64,49,29.98,29.91,29.86,6,6,5,12,7,,0.00,3,,106<br />
2002-3-15,93,86,78,73,71,66,83,65,41,29.95,29.90,29.83,6,6,5,12,7,,0.00,2,,123<br />
2002-3-16,93,84,75,72,70,68,83,61,44,29.92,29.88,29.83,6,6,4,9,6,,0.00,2,,112<br />
