
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2007-3-2,81,75,69,65,63,61,78,68,54,29.98,29.95,29.88,10,10,10,15,6,22,0.00,0,,160<br />
2007-3-3,81,74,68,66,62,59,76,66,56,29.99,29.95,29.90,10,10,10,12,7,,0.00,0,,37<br />
2007-3-4,81,74,68,66,63,58,71,65,58,29.99,29.95,29.89,10,10,10,13,7,,0.00,3,Rain,24<br />
2007-3-5,81,75,69,66,64,61,76,67,60,30.00,29.96,29.91,10,10,10,12,6,,0.00,2,,242<br />
2007-3-6,82,76,71,66,64,62,73,66,56,30.03,29.99,29.95,10,10,10,14,6,,0.00,2,,333<br />
2007-3-7,81,76,71,68,64,60,73,67,60,30.05,30.00,29.94,10,10,7,13,7,,0.00,0,,267<br />
2007-3-8,84,78,72,67,64,61,76,64,47,30.01,29.96,29.90,10,10,10,16,7,,0.00,4,Rain,205<br />
2007-3-9,84,78,71,68,64,59,76,64,47,30.00,29.95,29.90,10,10,10,21,13,24,0.00,2,,175<br />
2007-3-10,81,77,73,70,66,62,82,72,60,29.98,29.94,29.89,10,10,10,20,16,,0.04,6,Rain,177<br />
2007-3-11,81,76,71,70,68,66,87,76,65,30.01,29.96,29.91,10,10,10,13,6,,0.01,6,Rain,189<br />
2007-3-12,82,76,71,69,67,64,83,72,58,30.01,29.95,29.90,10,10,10,16,6,,0.00,3,,177<br />
2007-3-13,79,77,75,69,67,66,82,74,66,29.98,29.92,29.84,10,10,10,16,7,,0.01,6,Rain,219<br />
2007-3-14,82,78,73,67,65,62,79,69,56,29.97,29.91,29.82,10,10,10,16,8,,0.00,4,Rain,164<br />
2007-3-15,82,76,71,68,65,63,78,69,58,29.97,29.91,29.86,10,10,10,13,6,,0.00,4,,163<br />
2007-3-16,82,77,72,68,66,63,81,67,58,30.03,29.97,29.92,10,9,5,16,6,,0.00,1,,351<br />
2007-3-17,82,77,72,68,62,56,76,61,50,30.10,30.04,29.99,10,10,10,17,9,,0.00,2,,123<br />
2007-3-18,81,76,71,66,63,59,71,63,50,30.12,30.08,30.03,10,10,10,14,7,18,0.00,2,,160<br />
