
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2001-3-2,43,36,30,36,32,28,100,87,65,29.88,29.83,29.80,10,8,3,14,8,,0.00,7,Snow,266<br />
2001-3-3,51,42,32,34,33,31,96,74,50,29.88,29.83,29.81,10,7,3,9,2,,0.00,0,,20<br />
2001-3-4,35,32,27,32,27,18,92,79,57,30.14,29.98,29.79,10,7,2,20,12,25,0.00,3,,353<br />
2001-3-5,36,28,21,20,18,17,82,66,46,30.29,30.22,30.15,10,10,10,23,14,30,0.00,1,,313<br />
2001-3-6,42,30,19,24,19,12,78,64,45,30.34,30.28,30.23,10,10,10,16,13,20,0.00,0,,319<br />
2001-3-7,46,34,21,27,23,18,86,67,36,30.26,30.18,30.11,10,10,8,18,9,21,0.00,2,,302<br />
2001-3-8,35,30,26,25,21,18,86,70,54,30.15,30.08,30.04,10,9,5,20,12,26,0.00,8,,295<br />
2001-3-9,41,31,21,22,19,17,89,65,43,30.23,30.17,30.12,10,10,10,10,6,,0.00,1,,281<br />
2001-3-10,54,40,25,32,27,19,85,60,43,30.12,29.98,29.86,10,10,10,20,10,24,0.00,1,,184<br />
2001-3-11,50,42,35,37,33,30,89,73,52,30.13,30.02,29.91,10,8,4,18,11,,0.00,4,,51<br />
2001-3-12,57,49,39,49,41,30,100,81,67,29.88,29.66,29.54,10,7,2,23,15,33,0.03,7,Rain,200<br />
2001-3-13,53,42,32,36,31,28,86,67,41,29.92,29.70,29.58,10,10,10,32,16,43,0.00,6,,269<br />
2001-3-14,57,42,27,40,31,24,92,65,33,29.94,29.85,29.70,10,10,10,16,8,24,0.01,2,Rain,160<br />
2001-3-15,48,45,42,47,43,39,100,93,74,29.69,29.65,29.60,10,4,2,21,11,29,0.56,8,Rain,74<br />
2001-3-16,42,37,32,40,34,30,100,94,87,30.14,29.83,29.61,9,4,1,22,15,28,0.30,8,Rain-Snow,4<br />
2001-3-17,39,34,25,31,28,23,100,85,65,30.42,30.27,30.14,10,9,6,14,8,,0.00,6,Snow,335<br />
