
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-3-2,32,24,16,21,16,12,88,71,53,30.25,30.23,30.18,10,10,10,20,10,24,0.00,4,,334<br />
2013-3-3,33,23,13,22,16,9,100,75,49,30.23,30.15,30.09,10,10,7,9,3,10,0.00,3,,213<br />
2013-3-4,39,35,30,29,27,21,85,75,64,30.09,29.94,29.87,10,10,10,23,14,33,0.01,6,Rain,107<br />
2013-3-5,36,33,30,32,28,22,96,80,63,30.08,29.90,29.84,10,5,0,29,15,40,0.12,8,Fog-Rain-Snow,313<br />
2013-3-6,31,29,26,24,22,19,81,77,72,30.38,30.31,30.12,10,10,10,24,12,33,0.00,7,,325<br />
2013-3-7,39,33,26,28,24,20,85,72,59,30.45,30.40,30.36,10,10,10,12,4,15,0.00,5,,121<br />
2013-3-8,48,36,24,35,30,23,85,73,60,30.46,30.38,30.24,10,9,7,17,10,23,0.01,0,Rain,126<br />
2013-3-9,57,48,38,41,36,31,85,70,54,30.22,30.01,29.80,10,10,8,28,15,33,0.12,5,Rain,145<br />
2013-3-10,54,51,47,52,49,41,100,86,71,29.79,29.71,29.65,10,6,1,24,10,31,1.28,8,Rain,202<br />
2013-3-11,47,40,32,46,32,26,96,86,75,29.96,29.78,29.66,10,9,4,26,16,33,T,8,Rain,263<br />
2013-3-12,43,35,27,32,25,17,81,68,54,30.19,30.07,29.95,10,9,2,28,15,37,T,5,Snow,280<br />
2013-3-13,38,31,24,21,18,15,81,61,40,30.42,30.34,30.18,10,10,10,25,12,32,0.00,3,,302<br />
2013-3-14,48,36,23,33,25,18,81,67,52,30.40,30.26,30.13,10,10,9,23,10,28,T,3,,169<br />
2013-3-15,61,46,30,44,36,27,92,71,49,30.10,29.89,29.66,10,10,8,17,5,21,0.00,0,,160<br />
2013-3-16,47,40,33,43,34,28,100,80,60,30.10,29.90,29.62,10,7,0,22,10,26,0.00,6,Fog,3<br />
2013-3-17,41,36,31,32,27,22,96,78,59,30.16,30.04,29.88,10,9,5,21,13,25,0.05,7,Rain-Snow,71<br />
2013-3-18,47,37,27,36,32,20,100,75,49,30.02,29.77,29.69,10,7,1,26,12,33,0.05,7,Rain,327<br />
2013-3-19,44,34,24,20,16,13,68,50,32,30.20,30.13,29.99,10,10,10,22,13,28,0.00,0,,274<br />
2013-3-20,32,26,20,20,10,6,69,53,36,30.26,30.19,30.13,10,10,10,25,15,32,0.00,1,,307<br />
2013-3-21,36,25,14,17,10,7,73,53,32,30.16,30.09,30.03,10,10,10,12,4,15,0.00,0,,356<br />
2013-3-22,42,30,17,24,17,13,92,61,30,30.10,30.06,30.02,10,10,10,12,3,18,0.00,4,,162<br />
2013-3-23,53,43,33,26,24,20,69,51,32,30.10,30.01,29.92,10,10,10,21,9,28,T,5,,57<br />
2013-3-24,35,33,30,31,29,25,100,82,64,29.96,29.75,29.58,10,2,0,25,17,33,1.55,8,Fog-Snow,16<br />
2013-3-25,35,32,28,29,26,24,92,78,64,30.17,29.90,29.76,10,5,1,23,14,29,0.09,8,Snow,316<br />
2013-3-26,38,34,30,26,23,19,78,63,48,30.35,30.28,30.18,10,10,10,18,10,23,0.00,5,,291<br />
2013-3-27,40,31,22,25,22,17,85,68,50,30.41,30.37,30.34,10,10,10,10,5,13,0.00,2,,253<br />
2013-3-28,48,34,20,31,25,19,100,75,49,30.41,30.36,30.31,10,10,7,12,5,14,0.00,0,,118<br />
2013-3-29,58,46,33,36,32,28,82,61,40,30.31,30.27,30.23,10,10,10,13,5,15,0.00,2,,88<br />
2013-3-30,55,45,35,45,40,32,93,79,64,30.23,30.07,29.92,10,9,7,22,10,28,T,2,Rain,166<br />
2013-3-31,64,52,40,47,42,28,100,71,42,29.96,29.88,29.83,10,8,4,22,11,31,0.00,5,,279<br />
2013-4-1,47,39,30,30,20,14,70,50,30,30.26,30.16,29.99,10,10,10,21,12,26,0.00,2,,322<br />
2013-4-2,49,37,24,20,16,12,74,49,23,30.37,30.31,30.27,10,10,10,17,7,22,0.00,0,,330<br />
2013-4-3,52,39,25,21,19,17,69,48,26,30.45,30.37,30.30,10,10,10,17,8,22,0.00,0,,66<br />
2013-4-4,60,44,28,24,21,17,78,50,21,30.29,30.15,30.04,10,10,10,12,4,13,0.00,0,,75<br />
2013-4-5,63,50,37,33,27,22,85,54,23,30.19,30.11,30.04,10,10,10,18,8,22,0.00,0,,34<br />
2013-4-6,71,59,46,45,35,23,58,43,28,30.06,29.86,29.69,10,10,10,33,19,43,0.01,1,Rain,168<br />
2013-4-7,75,59,42,55,43,40,96,64,31,29.94,29.87,29.79,10,10,10,24,6,30,T,0,Rain,151<br />
2013-4-8,75,67,58,59,57,54,84,71,57,29.88,29.78,29.69,10,10,9,22,12,30,0.17,5,Rain-Thunderstorm,194<br />
2013-4-9,77,70,62,61,58,56,84,69,54,29.87,29.83,29.81,10,10,10,28,14,37,0.00,6,Thunderstorm,179<br />
2013-4-10,69,58,46,64,51,45,100,89,78,29.89,29.79,29.64,10,6,1,25,14,35,1.36,7,Rain-Thunderstorm,42<br />
2013-4-11,51,45,38,50,43,32,100,88,76,29.72,29.66,29.61,10,8,2,24,13,30,0.07,8,Rain,252<br />
2013-4-12,43,40,37,36,33,31,82,76,70,29.98,29.80,29.69,10,10,10,26,15,32,0.00,8,,249<br />
2013-4-13,56,46,36,38,33,28,92,68,43,30.06,30.00,29.95,10,10,10,23,10,28,T,4,,257<br />
2013-4-14,77,62,47,52,45,40,71,54,36,29.96,29.77,29.62,10,10,10,31,19,40,0.02,2,Rain-Thunderstorm,157<br />
2013-4-15,63,55,46,59,53,45,97,79,60,29.97,29.85,29.73,10,9,3,26,11,36,0.55,8,Rain-Thunderstorm,207<br />
2013-4-16,51,47,43,45,43,41,100,87,74,30.19,30.08,29.90,10,7,2,17,10,22,0.59,8,Rain-Thunderstorm,19<br />
2013-4-17,74,60,45,68,50,39,100,86,71,30.12,29.93,29.70,10,7,2,25,13,33,0.01,8,Rain,84<br />
2013-4-18,71,55,39,65,54,32,100,88,76,29.72,29.62,29.54,10,8,2,41,19,45,1.58,7,Rain-Thunderstorm,219<br />
2013-4-19,45,40,35,32,30,26,76,67,57,30.07,29.84,29.69,10,10,10,29,19,38,T,7,,272<br />
2013-4-20,51,41,30,31,28,25,92,66,39,30.39,30.27,30.08,10,10,10,10,6,14,0.00,2,,261<br />
2013-4-21,59,49,39,41,35,28,71,61,51,30.46,30.38,30.30,10,10,10,22,13,28,0.00,1,,127<br />
2013-4-22,68,54,39,47,40,34,82,61,40,30.30,30.16,30.02,10,10,10,22,9,28,T,0,Rain,148<br />
2013-4-23,59,49,39,54,44,37,96,82,67,30.03,29.96,29.92,10,8,2,20,10,25,0.35,8,Rain,331<br />
2013-4-24,51,44,36,37,34,31,92,71,50,30.23,30.11,29.98,10,9,4,18,11,24,0.06,6,Rain,298<br />
2013-4-25,59,49,38,36,31,27,79,56,33,30.35,30.29,30.19,10,10,10,23,10,29,0.00,0,,259<br />
2013-4-26,63,53,43,46,41,34,77,66,54,30.36,30.32,30.28,10,10,10,22,12,25,0.00,3,,176<br />
2013-4-27,56,50,44,52,49,44,100,83,66,30.30,30.12,29.95,10,7,2,16,7,20,0.25,7,Rain,94<br />
2013-4-28,64,57,50,55,52,48,100,86,72,29.94,29.91,29.88,10,6,1,13,8,17,0.05,7,Rain,313<br />
2013-4-29,76,61,45,60,54,44,100,79,57,29.94,29.86,29.77,10,9,4,26,14,33,0.00,0,,173<br />
2013-4-30,84,72,60,59,57,49,90,61,31,29.95,29.85,29.77,10,10,10,25,14,35,0.00,0,,183<br />
2013-5-1,82,69,56,57,55,51,86,62,37,30.10,30.05,29.96,10,10,10,20,8,24,0.00,0,,165<br />
2013-5-2,75,61,47,58,53,46,93,74,54,30.15,30.11,30.07,10,9,5,20,9,24,0.10,4,Rain,320<br />
2013-5-3,58,52,46,57,50,45,100,97,93,30.08,29.90,29.78,10,4,1,16,7,21,2.18,8,Rain-Thunderstorm,356<br />
2013-5-4,57,51,45,54,48,44,100,93,86,30.04,29.93,29.84,10,9,2,14,5,17,0.53,8,Rain,182<br />
2013-5-5,66,58,49,57,53,48,100,87,73,30.02,29.98,29.91,10,7,1,14,7,17,0.30,8,Rain,26<br />
2013-5-6,72,62,51,58,54,50,96,77,57,30.00,29.97,29.94,10,10,10,20,6,25,T,7,,31<br />
2013-5-7,79,68,57,57,53,45,93,62,30,30.04,30.00,29.97,10,10,10,12,3,15,0.00,2,,8<br />
2013-5-8,81,66,51,59,52,45,100,64,28,30.04,30.00,29.97,10,10,10,15,3,18,0.00,1,,228<br />
2013-5-9,68,64,60,64,61,58,97,88,78,29.99,29.91,29.82,10,8,2,18,7,22,0.89,7,Rain-Thunderstorm,156<br />
2013-5-10,63,57,51,59,54,48,100,90,80,30.00,29.92,29.83,10,9,2,17,8,22,T,7,,316<br />
2013-5-11,64,53,42,53,43,30,93,65,36,30.14,30.02,29.96,10,10,10,29,12,39,0.00,3,,299<br />
2013-5-12,60,48,36,37,31,27,82,56,30,30.23,30.18,30.14,10,10,10,23,9,37,0.00,0,,299<br />
2013-5-13,70,54,37,42,36,31,93,58,23,30.22,30.14,30.04,10,10,10,17,6,21,0.00,0,,217<br />
2013-5-14,89,73,56,60,53,41,72,52,31,30.01,29.84,29.74,10,10,10,20,13,28,0.00,0,,206<br />
2013-5-15,89,78,67,63,57,51,73,55,36,29.88,29.83,29.79,10,10,10,25,11,32,0.00,0,,252<br />
2013-5-16,83,73,63,64,60,56,93,69,45,29.94,29.89,29.83,10,10,10,21,6,24,T,1,Rain,201<br />
2013-5-17,80,70,59,65,61,57,93,75,57,29.98,29.95,29.92,10,10,7,17,7,20,T,5,Rain,142<br />
2013-5-18,81,71,61,64,63,61,100,77,54,30.02,29.97,29.91,10,8,2,14,6,16,0.00,3,,133<br />
2013-5-19,88,77,66,72,68,63,93,74,55,29.92,29.84,29.71,10,9,5,26,13,36,0.01,2,,157<br />
2013-5-20,85,74,63,70,63,58,93,67,40,29.87,29.80,29.73,10,9,1,22,15,32,0.93,6,Rain-Thunderstorm,212<br />
2013-5-21,81,72,63,67,64,61,100,79,58,29.79,29.73,29.67,10,9,3,22,12,28,T,3,Rain-Thunderstorm,195<br />
2013-5-22,74,68,61,64,60,54,100,77,53,29.83,29.72,29.65,10,9,2,23,11,29,0.14,7,Rain,237<br />
2013-5-23,63,55,46,59,53,46,93,80,67,30.27,30.03,29.83,10,9,2,23,10,29,0.02,6,Rain,334<br />
2013-5-24,70,55,40,46,41,36,93,63,33,30.43,30.35,30.28,10,10,10,14,6,24,0.00,0,,61<br />
2013-5-25,58,53,48,51,47,39,100,80,59,30.41,30.31,30.23,10,9,4,18,9,24,0.46,7,Rain-Thunderstorm,94<br />
2013-5-26,68,60,52,62,55,49,100,88,76,30.25,30.16,30.02,10,9,2,21,12,28,1.41,7,Rain-Thunderstorm,119<br />
2013-5-27,76,68,60,68,63,60,100,87,74,30.05,29.94,29.73,10,6,0,33,8,45,1.67,6,Fog-Rain-Thunderstorm,47<br />
2013-5-28,81,72,63,70,66,62,93,81,69,29.94,29.83,29.77,10,10,9,31,13,46,0.07,3,Rain-Thunderstorm,197<br />
2013-5-29,85,74,63,69,65,60,93,74,55,29.96,29.91,29.84,10,10,5,24,13,33,0.10,3,Rain-Thunderstorm,181<br />
2013-5-30,84,74,64,73,66,63,93,78,62,29.90,29.86,29.78,10,7,1,40,17,54,1.15,4,Rain-Thunderstorm,175<br />
2013-5-31,77,70,63,72,66,62,100,88,76,29.92,29.82,29.71,10,8,2,29,12,36,0.94,6,Rain-Thunderstorm,179<br />
2013-6-1,76,70,63,67,62,56,100,79,57,29.85,29.76,29.65,10,10,8,25,14,44,0.08,5,Rain-Thunderstorm,199<br />
2013-6-2,64,61,58,59,56,52,90,81,72,30.04,29.95,29.84,10,10,10,16,9,22,T,8,,306<br />
2013-6-3,68,60,52,57,52,47,100,78,56,30.13,30.06,30.02,10,10,10,12,4,15,0.00,5,,62<br />
2013-6-4,73,62,50,62,57,52,100,77,53,30.11,30.07,30.02,10,10,10,14,6,17,0.00,0,,113<br />
2013-6-5,81,68,55,67,59,54,100,73,45,30.04,29.95,29.86,10,9,5,9,3,13,0.00,1,,15<br />
2013-6-6,76,68,59,66,63,59,100,84,68,29.88,29.85,29.83,10,10,10,13,8,16,T,3,,343<br />
2013-6-7,76,66,55,62,57,54,100,75,49,29.92,29.90,29.87,10,10,10,15,7,20,T,1,Rain,356<br />
2013-6-8,80,67,53,60,55,49,100,68,35,29.97,29.94,29.91,10,10,10,12,5,18,0.00,1,,160<br />
2013-6-9,81,72,62,70,63,60,100,76,51,29.95,29.87,29.79,10,10,7,25,11,31,0.07,2,Rain,180<br />
2013-6-10,80,71,62,66,64,62,100,79,58,29.91,29.82,29.76,10,10,9,15,6,17,T,5,Rain,262<br />
2013-6-11,90,74,57,79,70,57,100,78,55,29.95,29.89,29.83,10,10,9,17,7,23,0.04,0,Rain-Thunderstorm,193<br />
2013-6-12,95,83,70,77,73,69,100,73,46,29.91,29.78,29.65,10,10,7,25,12,35,0.00,1,,223<br />
2013-6-13,86,75,63,74,62,46,90,59,27,29.99,29.89,29.71,10,10,10,24,11,30,T,3,Rain,335<br />
2013-6-14,83,71,58,64,58,52,100,68,36,30.12,30.05,29.96,10,10,10,15,4,18,0.00,0,,87<br />
2013-6-15,83,75,66,74,68,59,100,83,65,30.07,30.00,29.91,10,8,1,32,9,38,1.24,5,Rain-Thunderstorm,199<br />
2013-6-16,83,75,67,77,72,66,100,87,74,30.00,29.96,29.92,10,10,6,15,7,22,0.03,5,Rain,227<br />
2013-6-17,87,76,64,71,66,61,100,71,42,29.97,29.94,29.89,10,4,0,15,3,20,T,1,Fog,253<br />
2013-6-18,86,75,63,68,63,57,93,71,48,30.00,29.94,29.91,10,10,10,12,7,,0.00,1,,300<br />
2013-6-19,86,72,58,65,60,53,80,60,40,30.10,30.06,30.02,10,10,10,10,3,14,0.00,0,,51<br />
2013-6-20,90,77,64,68,64,60,93,67,40,30.13,30.08,30.05,10,10,5,15,7,20,0.00,0,,153<br />
2013-6-21,92,83,73,71,69,63,79,64,49,30.11,30.06,29.98,10,10,10,24,11,31,0.02,2,Rain-Thunderstorm,173<br />
2013-6-22,90,80,69,72,68,63,84,68,52,30.08,30.03,29.99,10,10,10,24,11,29,T,1,Rain-Thunderstorm,190<br />
2013-6-23,87,78,68,71,67,65,90,71,51,30.05,30.01,29.91,10,10,6,26,10,33,0.09,2,Rain-Thunderstorm,183<br />
2013-6-24,90,79,68,74,69,65,93,76,59,30.09,30.00,29.91,10,10,9,18,8,24,T,2,Rain-Thunderstorm,162<br />
2013-6-25,91,81,71,73,71,66,93,75,56,29.96,29.89,29.83,10,10,10,23,10,31,0.03,2,Rain,166<br />
2013-6-26,82,77,71,76,72,70,100,90,79,29.88,29.79,29.72,10,8,2,20,5,29,0.34,5,Rain-Thunderstorm,144<br />
2013-6-27,92,82,72,74,71,66,100,74,47,29.86,29.82,29.77,10,6,0,14,8,20,0.00,2,Fog,271<br />
2013-6-28,87,78,68,68,61,55,90,63,35,29.82,29.74,29.67,10,10,10,22,11,30,0.00,3,,292<br />
