
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2001-3-2,37,32,26,31,28,25,96,85,70,29.85,29.83,29.79,6,4,2,14,7,17,0.00,3,,289<br />
2001-3-3,43,33,23,32,27,21,100,86,60,29.93,29.87,29.82,10,4,1,9,3,,0.00,0,,331<br />
2001-3-4,33,27,21,25,22,16,88,75,61,30.22,30.09,29.94,10,9,3,18,11,24,0.00,2,,1<br />
2001-3-5,28,24,19,18,15,13,81,72,61,30.38,30.31,30.22,10,10,10,26,15,31,0.00,1,,337<br />
2001-3-6,34,26,17,21,17,11,81,69,54,30.41,30.36,30.30,10,10,10,16,10,,0.00,0,,333<br />
2001-3-7,34,28,23,27,22,18,86,76,52,30.29,30.21,30.10,10,9,7,18,8,18,0.00,6,,310<br />
2001-3-8,32,28,25,25,21,18,93,75,59,30.19,30.10,30.04,10,9,5,20,12,25,0.00,6,,321<br />
2001-3-9,35,28,21,24,21,19,92,74,57,30.24,30.17,30.09,10,9,7,10,6,,0.00,2,,314<br />
2001-3-10,48,36,24,36,29,22,100,81,47,30.08,29.92,29.81,10,6,2,16,8,,0.10,6,Rain,300<br />
2001-3-11,39,33,27,31,27,24,89,76,67,30.15,30.06,29.88,10,8,5,15,10,21,0.00,5,,94<br />
2001-3-12,43,38,32,43,34,25,100,88,72,29.86,29.60,29.53,10,5,1,18,10,23,0.30,8,Rain,234<br />
2001-3-13,43,36,30,34,31,27,93,82,70,29.90,29.68,29.49,10,10,7,23,10,31,0.00,7,Rain,288<br />
2001-3-14,48,38,28,39,34,27,96,87,71,29.91,29.80,29.73,10,8,5,13,5,,0.05,4,Rain,155<br />
2001-3-15,41,36,30,39,35,30,100,93,82,29.85,29.79,29.70,10,3,1,23,13,30,0.73,8,Rain-Snow,61<br />
2001-3-16,32,31,30,30,29,27,100,92,85,30.22,29.98,29.83,10,2,0,21,15,29,0.08,8,Fog-Snow,22<br />
2001-3-17,36,28,19,28,24,18,100,88,67,30.45,30.32,30.19,10,6,0,9,6,,0.00,3,Fog-Snow,312<br />
2001-3-18,39,26,14,26,19,12,100,86,53,30.51,30.46,30.42,10,4,1,7,2,,0.00,1,,134<br />
2001-3-19,46,36,27,30,27,24,96,73,46,30.42,30.38,30.33,10,8,4,8,2,,0.00,0,,130<br />
2001-3-20,48,36,24,31,26,21,92,70,37,30.35,30.28,30.22,10,9,5,9,2,,0.00,0,,141<br />
2001-3-21,52,40,27,35,31,25,92,70,45,30.23,30.18,30.13,10,9,7,6,1,,0.00,5,,260<br />
2001-3-22,57,47,36,46,39,33,93,79,59,30.17,30.13,30.07,10,6,2,20,6,21,0.00,4,,320<br />
2001-3-23,41,34,26,35,30,16,96,83,66,30.26,30.18,30.13,10,5,2,22,9,29,0.00,6,Rain,326<br />
2001-3-24,28,24,19,13,10,6,65,56,48,30.41,30.37,30.28,10,10,10,23,20,32,0.00,3,,336<br />
2001-3-25,26,22,17,11,10,9,71,64,49,30.37,30.35,30.33,10,10,10,22,19,30,0.00,2,,341<br />
2001-3-26,36,25,14,19,13,9,81,64,40,30.40,30.35,30.32,10,10,10,18,11,23,0.00,1,,332<br />
2001-3-27,42,30,17,25,19,14,92,67,40,30.40,30.33,30.25,10,10,6,7,5,,0.00,1,,298<br />
2001-3-28,42,33,24,38,31,21,96,86,49,30.24,30.02,29.92,10,7,4,15,6,21,0.07,5,Rain,181<br />
2001-3-29,46,40,35,38,37,35,100,83,68,29.98,29.95,29.92,8,6,3,9,6,,0.02,8,Rain,164<br />
2001-3-30,52,46,37,40,36,34,89,72,53,29.98,29.93,29.89,7,5,3,8,3,,0.00,6,,147<br />
2001-3-31,46,38,30,40,33,23,100,80,47,29.93,29.86,29.79,10,6,2,24,8,30,0.12,6,Rain,313<br />
2001-4-1,51,38,25,36,25,18,92,59,28,29.98,29.93,29.89,10,10,10,13,5,17,0.00,3,Rain,301<br />
2001-4-2,64,50,36,42,37,33,89,65,40,30.00,29.94,29.89,10,10,10,16,5,22,0.00,3,Rain,92<br />
2001-4-3,54,44,33,34,32,30,89,66,43,30.28,30.14,30.02,10,9,5,17,12,25,0.00,3,,84<br />
2001-4-4,63,50,36,35,32,31,86,56,30,30.32,30.25,30.18,10,8,3,17,11,23,0.00,2,,104<br />
2001-4-5,60,54,48,56,47,35,100,82,54,30.18,29.97,29.79,9,5,1,17,8,23,0.12,6,Rain-Thunderstorm,149<br />
2001-4-6,66,58,51,64,55,50,100,96,90,29.90,29.82,29.62,10,3,1,15,5,,0.21,7,Rain-Thunderstorm,71<br />
2001-4-7,77,63,48,63,49,39,90,55,32,29.84,29.56,29.44,10,10,6,34,16,52,0.00,1,,243<br />
2001-4-8,82,59,37,56,44,35,89,61,38,29.93,29.81,29.68,10,10,10,10,6,,0.00,1,,205<br />
2001-4-9,69,61,51,61,55,49,100,88,58,29.91,29.77,29.65,10,5,1,20,8,,1.03,7,Rain-Thunderstorm,69<br />
2001-4-10,57,52,48,55,50,46,100,92,82,29.92,29.84,29.70,5,3,2,14,9,17,0.09,7,Rain,94<br />
2001-4-11,72,64,55,63,55,41,100,83,35,29.70,29.52,29.24,10,6,1,28,10,50,0.38,6,Rain-Thunderstorm,141<br />
2001-4-12,57,52,46,43,39,36,77,66,53,30.05,29.68,29.28,10,10,10,32,22,46,0.00,7,Rain,282<br />
2001-4-13,63,48,33,43,36,32,96,61,31,30.19,30.11,29.99,10,10,10,10,5,,0.00,1,,210<br />
2001-4-14,66,52,39,49,40,27,100,71,23,30.08,30.02,29.93,10,6,0,17,4,24,0.06,2,Fog-Rain,43<br />
2001-4-15,64,51,37,49,42,25,96,76,41,30.17,29.93,29.83,10,10,5,25,9,38,0.08,5,Rain,299<br />
2001-4-16,39,34,30,28,23,16,87,65,43,30.31,30.21,30.18,10,9,2,28,17,38,0.00,5,Snow,327<br />
2001-4-17,54,42,30,26,23,19,76,52,26,30.49,30.42,30.33,10,10,10,20,13,25,0.00,1,,349<br />
2001-4-18,59,44,28,36,28,23,82,56,32,30.41,30.26,30.07,10,10,10,14,4,,0.00,0,,280<br />
2001-4-19,70,53,37,49,41,34,89,59,39,30.08,29.90,29.74,10,10,7,22,7,33,0.00,4,,170<br />
2001-4-20,82,70,59,62,58,51,81,69,49,29.76,29.72,29.68,10,10,9,16,9,23,0.01,6,Rain,201<br />
2001-4-21,78,66,55,63,57,50,94,73,43,30.12,29.81,29.56,10,10,2,26,15,34,0.16,2,Rain-Thunderstorm,246<br />
2001-4-22,81,67,53,66,56,49,97,79,45,30.16,30.00,29.79,10,8,4,23,11,29,0.14,7,Rain-Thunderstorm,135<br />
2001-4-23,68,57,46,61,44,35,90,71,62,30.12,29.82,29.61,10,10,6,31,18,39,0.12,6,Rain,260<br />
2001-4-24,63,50,36,43,34,28,89,56,28,30.33,30.25,30.14,10,10,10,20,10,26,0.00,1,,289<br />
2001-4-25,68,56,43,48,44,39,100,68,35,30.25,30.21,30.17,10,9,2,21,7,,0.28,2,Rain,183<br />
2001-4-26,80,64,48,52,47,43,83,57,31,30.16,30.07,29.98,10,10,10,25,9,33,0.00,1,,225<br />
2001-4-27,79,66,53,49,41,36,83,44,25,30.23,30.15,30.08,10,10,10,12,6,17,0.00,1,,96<br />
2001-4-28,73,61,50,51,43,33,77,54,41,30.35,30.29,30.24,10,10,7,15,8,22,0.08,2,Rain,161<br />
2001-4-29,81,67,53,53,48,41,69,51,35,30.32,30.23,30.12,10,10,10,17,8,24,0.00,1,,165<br />
2001-4-30,81,70,59,61,54,49,94,63,35,30.14,30.05,29.96,10,9,2,21,11,39,0.39,3,Rain,217<br />
2001-5-1,84,72,61,63,59,56,93,66,44,29.94,29.83,29.73,10,10,8,23,11,36,0.07,2,Rain,207<br />
2001-5-2,82,72,62,66,61,57,93,71,49,29.96,29.85,29.78,10,9,5,21,10,25,0.00,3,,188<br />
2001-5-3,78,68,60,66,62,59,100,88,66,30.16,30.08,29.97,10,6,1,16,6,21,0.54,6,Rain-Thunderstorm,3<br />
2001-5-4,63,60,57,63,59,52,100,95,83,30.21,30.16,30.11,10,5,1,14,4,21,0.04,7,Rain,52<br />
2001-5-5,73,62,51,63,55,45,97,84,67,30.17,30.06,29.96,10,7,2,17,9,34,0.38,6,Rain-Thunderstorm,125<br />
2001-5-6,72,66,60,64,61,59,96,87,73,30.00,29.94,29.88,10,7,2,17,10,23,0.23,6,Rain-Thunderstorm,168<br />
2001-5-7,71,62,50,61,50,39,96,71,33,30.20,30.06,29.94,10,10,8,20,7,26,0.00,4,Rain,302<br />
2001-5-8,75,60,46,52,47,42,90,62,39,30.19,30.14,30.08,10,10,10,24,8,32,0.00,2,,248<br />
2001-5-9,81,66,50,57,52,48,96,62,36,30.12,30.02,29.90,10,10,7,20,6,30,0.00,0,,205<br />
2001-5-10,80,70,60,66,59,55,94,79,56,29.97,29.87,29.75,10,8,1,32,11,43,1.81,5,Rain-Thunderstorm,224<br />
2001-5-11,73,65,55,61,56,45,100,81,46,30.20,29.98,29.87,10,8,2,18,8,24,0.01,5,Rain,313<br />
2001-5-12,66,56,46,49,42,38,89,59,34,30.35,30.29,30.22,10,10,10,12,7,,0.00,0,,4<br />
2001-5-13,60,56,52,52,50,48,93,81,69,30.30,30.23,30.13,10,9,4,10,4,,0.11,7,Rain,168<br />
2001-5-14,84,70,55,68,60,52,94,79,56,30.13,29.98,29.83,10,9,5,20,10,28,0.26,4,Rain-Thunderstorm,188<br />
2001-5-15,87,78,69,68,66,64,84,70,53,29.81,29.69,29.61,10,10,8,17,10,23,0.00,1,,224<br />
2001-5-16,88,78,69,67,58,51,87,56,29,29.70,29.65,29.59,10,10,9,13,5,,0.00,1,,324<br />
2001-5-17,77,72,66,67,64,57,94,82,53,29.83,29.75,29.64,10,9,2,16,7,41,0.38,3,Rain-Thunderstorm,247<br />
2001-5-18,79,70,62,57,50,47,78,50,36,29.94,29.88,29.82,10,10,10,12,7,17,0.00,1,,65<br />
2001-5-19,81,66,53,54,46,42,86,49,26,29.98,29.93,29.86,10,10,10,9,4,,0.00,0,,75<br />
2001-5-20,78,69,60,64,59,47,100,78,52,29.85,29.63,29.45,10,6,1,12,5,20,0.87,4,Rain,159<br />
2001-5-21,66,59,50,65,52,44,100,78,52,29.75,29.53,29.36,10,8,2,25,12,39,0.16,6,Rain,298<br />
2001-5-22,61,52,46,44,40,32,86,67,36,29.78,29.73,29.70,10,10,8,25,11,32,0.01,4,Rain,279<br />
2001-5-23,53,48,44,45,42,39,93,77,63,29.70,29.66,29.62,10,10,10,17,9,21,0.07,4,Rain,272<br />
2001-5-24,53,47,41,46,43,39,100,90,71,29.83,29.74,29.68,10,9,2,10,4,18,0.27,7,Rain-Thunderstorm,299<br />
2001-5-25,57,50,44,52,48,44,100,86,67,29.83,29.81,29.79,10,9,4,7,4,16,0.00,6,,303<br />
2001-5-26,60,54,50,54,51,48,100,95,72,29.79,29.69,29.58,10,6,2,16,5,23,1.31,7,Rain-Thunderstorm,54<br />
2001-5-27,69,56,44,54,49,45,100,80,49,29.86,29.81,29.76,10,7,1,13,4,16,0.01,3,,330<br />
2001-5-28,71,57,44,54,49,44,100,76,44,30.02,29.96,29.87,10,9,5,8,2,,0.00,1,,309<br />
2001-5-29,77,63,51,56,51,45,93,63,34,30.10,30.05,30.02,10,10,2,9,3,,0.00,0,,166<br />
2001-5-30,64,58,52,49,39,33,67,43,34,30.14,30.09,30.06,10,8,1,16,10,22,0.00,6,,104<br />
2001-5-31,55,50,46,49,46,35,100,93,47,30.06,29.89,29.80,10,6,2,17,12,24,1.21,8,Rain,64<br />
2001-6-1,70,58,46,57,50,45,100,82,63,29.83,29.71,29.54,10,9,2,16,10,22,0.11,4,Rain,294<br />
2001-6-2,64,56,46,49,46,43,97,74,55,29.85,29.69,29.57,10,10,2,22,13,33,0.00,6,,332<br />
2001-6-3,64,54,45,49,47,44,97,73,56,29.97,29.91,29.85,10,10,2,14,6,,0.00,3,,48<br />
