
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-3-2,36,27,18,22,16,7,75,61,47,30.56,30.45,30.32,10,10,10,18,10,25,0.00,0,,40<br />
2011-3-3,49,39,28,38,30,22,78,69,60,30.35,30.15,29.98,10,10,9,17,10,24,T,2,Rain,120<br />
2011-3-4,47,41,35,43,39,31,92,84,76,30.10,29.98,29.91,10,5,2,21,9,29,0.42,7,Rain-Thunderstorm,10<br />
2011-3-5,35,32,28,30,27,19,89,76,63,30.38,30.26,30.11,10,6,1,20,10,26,0.01,8,Snow,336<br />
2011-3-6,40,30,19,28,22,17,92,71,50,30.38,30.30,30.19,10,10,10,12,5,15,0.00,3,,122<br />
2011-3-7,37,34,30,34,30,27,92,87,82,30.21,30.16,30.10,10,8,2,12,7,14,0.01,8,Snow,116<br />
2011-3-8,45,39,33,40,34,30,100,83,65,30.19,30.06,29.90,10,5,3,23,12,29,0.59,6,Rain,68<br />
2011-3-9,37,36,35,36,34,31,100,91,82,30.08,29.89,29.78,10,6,2,20,13,28,0.09,8,Rain,360<br />
2011-3-10,39,34,28,31,27,25,85,75,64,30.25,30.20,30.07,10,9,7,20,13,26,0.00,6,,314<br />
2011-3-11,54,40,25,37,29,24,100,73,46,30.22,30.05,29.82,10,6,0,21,9,28,0.00,4,Fog,166<br />
2011-3-12,43,35,26,33,26,20,85,72,59,30.29,30.03,29.82,10,10,10,29,17,38,0.00,5,,296<br />
2011-3-13,35,28,21,25,20,17,85,73,61,30.48,30.41,30.31,10,10,9,16,6,22,0.00,5,,348<br />
2011-3-14,49,39,28,28,26,25,85,64,42,30.47,30.37,30.27,10,10,8,13,7,16,0.00,0,,61<br />
2011-3-15,55,40,24,32,26,22,88,58,28,30.25,30.15,30.06,10,9,4,13,3,18,0.00,2,,347<br />
2011-3-16,64,45,26,42,34,23,92,65,37,30.14,30.04,29.91,10,10,8,17,6,22,0.00,0,,180<br />
2011-3-17,71,58,45,57,47,39,80,72,63,30.08,29.84,29.74,10,10,10,26,12,32,0.00,4,,211<br />
2011-3-18,50,41,32,39,33,29,89,71,52,30.42,30.28,30.11,10,10,10,18,8,22,0.00,1,,307<br />
2011-3-19,57,44,30,35,31,27,92,64,36,30.51,30.39,30.25,10,10,10,21,9,26,0.01,2,,106<br />
2011-3-20,71,58,44,57,45,37,86,73,59,30.24,30.03,29.82,10,9,2,20,11,26,0.43,7,Rain-Thunderstorm,145<br />
2011-3-21,59,52,44,49,45,41,100,77,53,30.12,30.04,29.97,10,7,0,17,6,24,0.02,5,Fog,359<br />
2011-3-22,54,49,44,47,43,39,93,85,77,29.96,29.68,29.39,8,6,2,31,13,46,0.32,8,Rain-Thunderstorm,88<br />
2011-3-23,51,40,29,48,39,23,100,86,72,30.04,29.63,29.40,10,8,2,26,14,33,0.06,8,Rain,311<br />
2011-3-24,41,34,27,24,20,18,75,58,40,30.27,30.17,30.07,10,10,10,18,7,25,0.00,4,,5<br />
2011-3-25,39,35,31,27,25,21,75,66,56,30.21,30.11,30.08,10,10,10,14,6,18,0.00,7,,94<br />
2011-3-26,37,31,25,24,19,15,78,61,44,30.21,30.16,30.13,10,10,10,22,13,29,0.00,3,,70<br />
2011-3-27,41,31,21,18,16,14,81,58,34,30.29,30.23,30.19,10,10,10,16,9,20,0.00,2,,60<br />
2011-3-28,43,34,24,19,15,12,74,52,29,30.33,30.27,30.21,10,10,10,15,9,21,0.00,2,,74<br />
2011-3-29,45,37,29,28,23,13,92,61,29,30.36,30.30,30.23,10,7,2,13,5,16,0.06,6,Snow,93<br />
2011-3-30,50,39,28,20,16,10,63,42,21,30.23,30.10,29.96,10,10,10,13,3,16,0.00,2,,34<br />
2011-3-31,52,39,26,25,19,15,78,51,24,29.95,29.82,29.70,10,10,10,12,2,15,0.00,3,,191<br />
2011-4-1,56,46,36,37,32,27,82,60,38,29.81,29.69,29.63,10,10,7,23,11,35,T,6,,291<br />
2011-4-2,61,46,31,33,28,22,85,54,22,29.98,29.90,29.82,10,10,10,17,7,21,0.00,2,,284<br />
2011-4-3,82,65,47,65,50,30,72,57,42,29.75,29.36,29.15,10,9,5,35,13,46,0.31,5,Rain-Thunderstorm,191<br />
2011-4-4,49,43,36,47,34,24,83,63,42,29.86,29.59,29.37,10,10,5,32,19,44,0.01,7,Rain-Thunderstorm,308<br />
2011-4-5,63,45,27,38,27,22,78,50,22,29.92,29.79,29.65,10,10,10,20,7,25,0.00,3,,237<br />
2011-4-6,64,53,42,41,38,35,76,59,42,29.94,29.74,29.60,10,10,10,16,6,21,0.00,3,,47<br />
2011-4-7,59,48,36,46,39,33,93,65,37,30.05,29.98,29.89,10,8,4,18,8,25,0.58,3,Rain,106<br />
2011-4-8,53,50,47,47,46,44,93,85,77,29.97,29.92,29.85,10,8,4,17,10,25,T,8,Rain,78<br />
2011-4-9,75,61,47,64,51,46,100,82,64,29.95,29.86,29.63,10,5,2,18,9,22,T,6,Thunderstorm,108<br />
2011-4-10,85,69,52,64,58,46,73,54,35,29.64,29.53,29.42,10,10,10,26,17,36,0.00,1,,214<br />
2011-4-11,67,57,47,44,38,30,77,52,26,29.97,29.80,29.66,10,10,10,24,13,32,0.00,1,,309<br />
