
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-3-2,32,28,24,21,18,15,75,67,59,30.39,30.32,30.18,10,10,10,10,7,,0.00,4,,278<br />
2013-3-3,42,34,27,30,25,20,78,68,58,30.17,29.93,29.70,10,10,10,15,11,23,0.00,1,,142<br />
2013-3-4,50,42,35,34,31,28,82,69,54,30.01,29.76,29.65,10,10,9,21,9,28,0.00,2,Rain,54<br />
2013-3-5,37,32,27,31,20,15,82,60,48,30.40,30.23,30.04,10,10,10,29,22,39,0.00,3,,321<br />
2013-3-6,37,28,18,22,19,15,88,71,52,30.47,30.39,30.28,10,10,10,12,6,,0.00,1,,72<br />
2013-3-7,53,38,24,34,26,20,84,65,48,30.28,30.20,30.10,10,10,10,15,10,20,0.00,0,,112<br />
2013-3-8,61,48,36,46,38,28,76,64,49,30.17,30.07,29.92,10,10,9,24,13,29,0.00,4,,140<br />
2013-3-9,55,52,48,55,48,39,100,89,54,29.92,29.72,29.58,10,4,1,21,11,31,1.38,8,Rain-Thunderstorm,145<br />
2013-3-10,51,38,26,50,34,21,100,91,78,29.97,29.75,29.58,10,6,2,25,13,36,0.01,8,Rain-Snow,329<br />
2013-3-11,41,32,24,22,19,15,81,67,38,30.04,29.98,29.93,10,10,10,17,13,25,0.00,4,,300<br />
2013-3-12,48,38,28,27,22,19,85,58,33,30.38,30.22,30.04,10,10,10,26,11,34,0.00,2,,309<br />
2013-3-13,46,32,19,24,20,16,89,63,34,30.51,30.41,30.30,10,10,10,9,5,,0.00,1,,236<br />
2013-3-14,73,52,33,38,32,24,70,50,28,30.29,30.14,30.05,10,10,10,14,8,,0.00,0,,217<br />
2013-3-15,86,60,35,44,37,31,86,51,16,30.07,29.82,29.65,10,10,10,18,6,26,0.00,0,,216<br />
2013-3-16,54,44,35,43,34,27,89,74,57,30.08,29.96,29.74,10,8,4,20,14,31,0.00,6,,18<br />
2013-3-17,37,34,32,34,31,26,100,86,73,30.06,29.89,29.75,10,8,2,14,11,21,0.05,8,Rain,73<br />
2013-3-18,55,44,33,36,27,17,100,64,24,30.07,29.90,29.75,10,8,4,24,9,32,0.01,3,,321<br />
2013-3-19,42,34,25,37,28,15,97,80,47,30.28,30.22,30.11,10,6,0,9,2,,0.23,6,Fog-Rain-Snow,217<br />
2013-3-20,42,33,24,34,16,9,93,55,27,30.44,30.31,30.14,10,10,10,18,8,33,0.00,2,,345<br />
2013-3-21,33,29,26,27,21,13,93,71,51,30.10,29.97,29.88,10,9,3,17,9,26,0.00,7,Snow,99<br />
2013-3-22,35,31,28,31,29,27,100,92,85,30.03,29.97,29.92,8,4,2,9,6,,0.00,8,,61<br />
2013-3-23,37,34,30,32,30,27,96,88,67,30.06,29.95,29.87,10,3,0,21,7,29,0.23,8,Fog-Snow,31<br />
2013-3-24,33,30,26,28,26,19,93,87,56,30.10,29.98,29.88,10,4,0,29,20,30,0.05,7,Fog-Snow,352<br />
2013-3-25,33,28,24,25,22,19,93,75,64,30.39,30.22,30.09,10,9,4,29,20,30,0.00,6,Snow,325<br />
2013-3-26,35,26,16,22,18,13,88,70,54,30.45,30.38,30.31,10,10,10,12,7,,0.00,1,,259<br />
