PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2001-3-2,35,32,28,32,29,21,96,85,64,29.87,29.78,29.72,10,5,1,10,5,16,0.12,8,Snow,201<br />
2001-3-3,37,24,12,26,21,9,92,75,59,30.04,29.98,29.88,10,10,9,8,3,,0.00,1,,102<br />
2001-3-4,44,37,30,30,26,23,79,62,47,30.04,29.99,29.95,10,10,10,29,10,46,0.00,6,,160<br />
2001-3-5,55,44,30,30,28,26,88,59,35,30.13,30.07,30.02,10,10,10,13,5,,0.00,2,,115<br />
2001-3-6,59,42,26,32,28,23,92,64,31,30.20,30.12,30.07,10,10,10,12,3,,0.00,0,,61<br />
2001-3-7,59,42,26,30,27,24,92,64,28,30.17,30.13,30.07,10,10,10,12,3,,0.00,0,,341<br />
2001-3-8,57,40,24,32,29,22,91,64,33,30.20,30.05,29.91,10,9,4,18,4,31,0.20,4,Rain,144<br />
2001-3-9,41,37,33,32,31,29,93,82,70,29.94,29.82,29.76,10,8,0,10,5,,0.34,8,Fog-Rain-Snow,131<br />
2001-3-10,43,36,28,31,29,25,85,73,60,29.88,29.81,29.76,10,10,10,17,7,,0.00,6,,346<br />
2001-3-11,37,31,24,26,21,17,89,67,47,30.13,29.95,29.82,10,10,3,24,6,29,0.00,5,Snow,335<br />
2001-3-12,48,34,19,29,25,17,92,69,43,30.24,30.19,30.14,10,10,10,13,5,17,0.00,1,,283<br />
2001-3-13,55,39,23,30,24,20,96,71,27,30.26,30.16,29.95,10,7,0,15,3,20,0.00,0,Fog,234<br />
2001-3-14,45,36,26,20,16,11,71,43,27,30.27,30.16,29.95,10,10,10,22,11,21,0.00,0,,310<br />
2001-3-15,52,36,21,32,19,12,86,55,20,30.24,30.05,29.83,10,10,10,14,4,20,0.00,3,,236<br />
2001-3-16,39,32,24,32,23,13,87,66,36,30.12,29.94,29.82,10,9,2,17,7,,0.00,5,Snow,287<br />
2001-3-17,45,35,25,32,25,18,85,66,38,30.18,30.13,30.09,10,10,10,15,4,,0.00,6,,238<br />
2001-3-18,57,47,36,35,34,31,89,64,40,30.25,30.22,30.15,10,10,10,12,4,17,0.00,4,,234<br />
2001-3-19,66,48,30,36,32,28,89,60,28,30.27,30.18,30.07,10,10,10,17,4,17,0.00,1,,241<br />
2001-3-20,62,50,37,45,37,33,93,68,37,30.13,30.07,29.99,10,10,7,17,2,22,0.03,3,Rain,51<br />
2001-3-21,63,48,33,39,32,31,100,69,30,30.14,30.10,30.03,10,6,0,15,3,,0.00,3,Fog,274<br />
2001-3-22,62,48,35,44,34,31,100,69,31,30.11,30.07,29.96,10,9,1,15,4,17,0.06,4,Rain,78<br />
2001-3-23,61,46,32,41,32,24,100,73,29,30.16,30.10,30.01,10,6,0,20,2,,0.01,4,Fog-Rain-Thunderstorm,306<br />
2001-3-24,68,50,32,32,31,23,100,62,25,30.14,30.04,29.91,10,7,0,8,3,,0.00,2,Fog,52<br />
2001-3-25,60,48,37,32,27,23,81,41,23,30.07,30.04,30.01,10,10,10,22,9,25,0.00,1,,270<br />
2001-3-26,57,44,30,30,22,15,93,39,20,30.11,30.07,30.01,10,10,10,18,8,23,0.00,1,,258<br />
