
PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2002-3-2,32,24,15,15,10,3,85,61,32,30.49,30.43,30.31,10,10,10,10,4,,0.00,1,,350<br />
2002-3-3,39,26,14,18,13,8,91,61,32,30.61,30.51,30.45,10,10,10,8,4,,0.00,0,,55<br />
2002-3-4,46,31,16,23,18,12,88,65,34,30.48,30.33,30.15,10,10,10,8,4,,0.00,0,,61<br />
2002-3-5,54,38,21,26,20,14,89,58,21,30.19,30.07,29.96,10,10,10,17,4,22,0.00,2,,240<br />
2002-3-6,48,41,34,33,30,24,79,67,39,29.96,29.81,29.65,10,10,7,22,5,28,0.01,6,Rain,235<br />
2002-3-7,48,34,19,36,29,11,100,85,37,29.78,29.66,29.49,10,6,0,23,12,37,0.16,7,Fog-Rain-Snow,235<br />
2002-3-8,30,21,12,16,12,8,88,68,47,30.37,30.18,29.82,10,10,9,15,8,18,0.00,3,,227<br />
2002-3-9,39,27,15,22,15,8,81,58,39,30.42,30.29,30.13,10,10,10,12,8,,0.00,0,,58<br />
2002-3-10,44,38,30,32,27,15,92,72,35,30.23,30.13,30.07,10,9,1,17,7,24,0.05,6,Rain-Snow,219<br />
2002-3-11,50,38,26,32,29,24,96,71,38,30.32,30.24,30.14,10,10,10,13,4,18,0.00,2,,220<br />
2002-3-12,53,46,36,40,35,28,93,70,48,30.12,29.96,29.76,10,10,9,20,7,25,0.07,5,Rain,233<br />
2002-3-13,36,30,23,26,20,15,92,66,44,30.02,29.92,29.77,10,8,0,20,11,28,0.01,4,Fog-Snow,294<br />
2002-3-14,36,28,18,19,14,8,88,61,34,30.13,30.08,30.00,10,10,10,17,6,20,0.00,4,,305<br />
2002-3-15,35,24,14,20,12,0,88,60,23,30.11,29.98,29.82,10,10,10,10,3,16,0.00,3,,117<br />
2002-3-16,32,24,12,27,21,9,100,83,56,29.96,29.81,29.75,10,6,0,18,6,21,0.02,5,Fog-Snow,228<br />
2002-3-17,32,20,9,22,16,5,100,82,35,30.06,29.88,29.80,10,6,0,12,4,,0.05,5,Fog-Snow,222<br />
2002-3-18,33,24,14,18,12,3,92,62,31,30.33,30.25,30.08,10,10,10,12,4,16,0.00,1,,223<br />
2002-3-19,51,35,19,24,19,13,81,55,31,30.35,30.30,30.23,10,10,10,16,6,20,0.00,2,,244<br />
2002-3-20,62,42,21,28,24,18,93,58,18,30.33,30.24,30.15,10,10,10,13,3,21,0.00,0,,236<br />
2002-3-21,61,46,30,30,26,21,82,52,22,30.28,30.15,30.05,10,10,10,8,2,,0.00,0,,77<br />
2002-3-22,66,48,30,28,23,17,79,44,15,30.04,29.83,29.62,10,10,10,18,5,24,0.00,1,,41<br />
2002-3-23,46,38,28,33,30,22,100,78,39,29.86,29.76,29.60,10,8,2,17,9,24,0.12,6,Rain-Snow-Thunderstorm,219<br />
2002-3-24,37,32,28,36,32,27,100,94,79,30.03,29.91,29.83,10,7,0,12,4,16,0.13,7,Fog-Rain-Snow,228<br />
2002-3-25,45,35,25,33,27,23,96,71,42,30.17,30.10,30.03,10,10,10,10,4,,0.00,4,,179<br />
2002-3-26,55,40,26,29,26,23,92,63,29,30.20,30.09,30.00,10,10,10,8,3,,0.00,4,,323<br />
2002-3-27,57,42,27,31,25,21,92,56,25,30.07,30.03,29.98,10,10,10,16,5,23,0.00,0,,255<br />
2002-3-28,55,40,26,29,25,21,88,56,27,30.18,30.11,30.07,10,10,10,10,3,17,0.00,0,,266<br />
