
PHT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2001-3-2,89,82,75,75,73,68,94,74,55,29.95,29.92,29.89,6,5,4,12,5,,0.00,3,,98<br />
2001-3-3,86,82,77,75,73,72,94,79,66,29.98,29.91,29.86,6,5,3,12,7,,0.00,4,,103<br />
2001-3-4,87,82,77,73,71,68,89,70,55,29.95,29.91,29.86,6,5,3,16,4,,0.00,4,,123<br />
2001-3-5,87,82,77,72,69,66,78,68,55,29.95,29.91,29.86,6,5,4,16,10,,0.00,4,,114<br />
2001-3-6,84,80,75,75,72,70,89,77,62,29.98,29.92,29.89,6,5,3,16,7,,0.00,4,,112<br />
2001-3-7,89,82,75,75,72,68,100,72,49,29.95,29.91,29.86,6,6,4,16,5,,0.00,3,,104<br />
2001-3-8,87,81,75,79,73,70,100,77,55,29.98,29.93,29.89,6,5,4,14,7,,0.00,5,Rain,104<br />
2001-3-9,84,80,77,75,72,70,94,79,62,29.98,29.94,29.89,6,5,4,14,6,,0.00,5,Rain,84<br />
2001-3-10,86,82,77,73,71,66,89,72,58,30.01,29.95,29.92,5,4,4,18,6,28,0.00,4,,96<br />
2001-3-11,89,82,75,73,72,70,94,73,55,29.98,29.93,29.86,6,5,4,16,5,,0.00,3,,143<br />
2001-3-12,89,81,73,72,71,68,89,71,49,29.95,29.90,29.80,6,5,3,108,13,,0.00,3,,123<br />
2001-3-13,87,81,75,72,68,34,83,67,18,29.95,29.91,29.86,6,5,4,18,7,,0.00,3,,108<br />
2001-3-14,87,81,75,72,70,68,78,70,55,29.98,29.94,29.89,6,5,5,14,6,,0.00,4,,122<br />
2001-3-15,89,82,75,77,72,68,100,74,55,29.95,29.92,29.83,6,5,2,14,5,,0.00,5,Rain,118<br />
2001-3-16,89,83,77,77,74,72,94,76,55,29.92,29.85,29.77,6,5,3,18,5,,0.00,4,,103<br />
2001-3-17,91,84,77,75,74,68,89,70,55,29.89,29.83,29.77,6,5,4,14,8,,0.00,3,,109<br />
2001-3-18,91,84,78,75,73,72,89,68,52,29.92,29.86,29.83,6,6,4,18,7,,0.00,2,,124<br />
2001-3-19,91,84,77,73,72,68,79,69,52,29.92,29.88,29.83,6,6,5,18,8,,0.00,2,,101<br />
2001-3-20,91,84,78,75,73,72,83,70,55,29.92,29.86,29.80,6,6,3,16,5,,0.00,3,,124<br />
2001-3-21,93,86,78,75,73,70,84,66,49,29.86,29.81,29.74,6,6,5,16,7,,0.00,2,,122<br />
2001-3-22,93,85,77,75,71,68,89,65,46,29.86,29.82,29.77,6,6,5,16,7,,0.00,1,,125<br />
2001-3-23,91,83,75,72,69,66,78,62,46,29.92,29.82,29.74,6,6,4,14,8,,0.00,3,,110<br />
2001-3-24,93,86,78,77,74,72,89,70,52,29.89,29.81,29.74,6,6,4,12,7,,0.00,3,,103<br />
2001-3-25,93,86,78,77,75,72,89,72,49,29.86,29.79,29.71,6,6,4,14,7,,0.00,3,,161<br />
2001-3-26,86,82,78,79,76,73,94,82,66,29.80,29.76,29.71,6,5,4,12,7,,0.00,4,,201<br />
2001-3-27,89,84,78,79,76,72,94,78,58,29.83,29.76,29.71,6,5,4,16,7,23,0.00,3,,233<br />
2001-3-28,89,83,77,79,76,73,94,80,62,29.83,29.78,29.62,6,6,5,21,7,,0.00,3,,249<br />
2001-3-29,89,84,78,79,77,75,100,79,62,29.83,29.78,29.74,6,6,5,14,6,,0.00,4,,281<br />
2001-3-30,89,84,80,77,74,72,89,74,59,29.89,29.82,29.74,6,5,4,16,6,,0.00,4,,120<br />
2001-3-31,91,84,77,75,72,70,89,68,55,29.95,29.89,29.86,6,5,4,16,7,,0.00,3,,106<br />
2001-4-1,91,84,78,72,71,68,78,64,49,29.95,29.90,29.83,6,6,4,16,10,,0.00,3,,109<br />
2001-4-2,91,84,77,73,72,70,89,68,55,29.92,29.86,29.80,6,6,4,14,6,,0.00,2,,104<br />
2001-4-3,93,86,78,75,73,70,84,68,49,29.89,29.84,29.77,6,6,4,14,4,,0.00,2,,106<br />
2001-4-4,93,86,80,77,75,73,84,69,52,29.89,29.84,29.80,6,6,4,12,5,,0.00,2,,135<br />
2001-4-5,95,88,80,75,73,70,84,65,47,29.92,29.86,29.77,6,6,5,16,7,,0.00,2,,118<br />
2001-4-6,95,88,80,79,75,72,94,68,47,29.92,29.87,29.80,6,6,5,12,6,,0.00,2,,128<br />
2001-4-7,95,88,80,75,72,66,79,59,41,29.92,29.86,29.80,6,6,4,14,7,,0.00,3,,126<br />
2001-4-8,96,88,80,79,72,55,94,65,25,29.86,29.81,29.74,6,6,4,12,5,,0.00,2,,160<br />
2001-4-9,95,86,78,77,73,70,83,65,46,29.86,29.82,29.77,6,5,4,5,2,,0.00,2,,184<br />
2001-4-10,93,86,80,77,74,72,84,68,55,29.92,29.86,29.80,6,5,4,12,3,,0.00,4,,154<br />
2001-4-11,91,86,80,79,77,73,94,75,59,29.89,29.85,29.80,6,5,4,12,7,,0.00,6,,136<br />
2001-4-12,89,84,78,81,76,72,100,77,59,29.89,29.83,29.80,6,5,3,12,6,,0.00,6,,121<br />
2001-4-13,89,84,80,73,73,72,79,68,58,29.92,29.87,29.83,6,6,4,16,8,,0.00,4,,123<br />
2001-4-14,93,86,78,79,74,72,89,71,52,29.98,29.93,29.89,6,5,2,14,8,,0.00,3,Rain,105<br />
2001-4-15,91,84,78,77,75,72,89,73,55,29.95,29.91,29.86,6,5,4,16,7,,0.00,3,Rain,93<br />
2001-4-16,93,85,77,75,73,72,89,67,49,29.92,29.86,29.77,6,5,4,12,6,,0.00,2,,113<br />
2001-4-17,95,86,78,77,74,72,84,66,47,29.86,29.81,29.74,6,5,4,12,5,,0.00,3,,141<br />
2001-4-18,95,86,78,81,76,72,94,71,49,29.83,29.78,29.71,6,5,4,12,5,,0.00,5,Thunderstorm,122<br />
2001-4-19,95,86,78,82,75,70,100,72,44,29.83,29.79,29.74,6,5,4,12,4,,0.00,5,,131<br />
2001-4-20,95,88,80,77,74,64,84,65,36,29.80,29.75,29.68,6,6,5,16,7,,0.00,2,,131<br />
2001-4-21,95,88,80,75,71,64,84,62,36,29.80,29.75,29.68,6,5,4,9,6,,0.00,2,,145<br />
